id,price
0,106.507805
1,22.875227
2,51.8577
3,29.922876
4,14.789967
5,17.06221
6,11.713969
7,10.579599
8,10.129235
9,30.394957
10,18.450731
11,47.757618
12,14.455005
13,15.628099
14,17.50724
15,29.13686
16,80.447945
17,26.949259
18,13.983989
19,32.786545
20,9.5995455
21,14.162649
22,23.385113
23,14.518813
24,46.831806
25,48.728878
26,20.786217
27,34.665447
28,14.092206
29,52.055782
30,34.788692
31,111.580315
32,13.7420025
33,79.43802
34,31.19876
35,63.86977
36,10.887304
37,29.05225
38,8.841814
39,38.72477
40,27.689453
41,49.43821
42,33.236485
43,40.737747
44,10.954586
45,21.675505
46,45.110954
47,30.330526
48,29.31734
49,40.95938
50,12.877702
51,12.258036
52,28.535357
53,9.228379
54,22.894827
55,20.76703
56,75.33468
57,9.752744
58,25.721895
59,13.632242
60,70.829834
61,18.02104
62,10.804404
63,45.972652
64,15.030393
65,28.329285
66,15.877606
67,56.767574
68,12.788956
69,71.99576
70,25.289474
71,8.861804
72,16.017687
73,9.091944
74,21.097958
75,28.184097
76,28.50946
77,12.279092
78,25.3405
79,30.62836
80,19.0613
81,9.852926
82,11.596284
83,16.299925
84,30.247185
85,18.331287
86,54.46575
87,16.88535
88,12.351004
89,15.772266
90,12.589768
91,52.71473
92,21.343801
93,42.80023
94,19.329102
95,46.67681
96,10.708632
97,37.95357
98,14.001259
99,25.545815
100,18.913513
101,39.623528
102,31.598137
103,15.42781
104,15.526822
105,18.20196
106,49.28364
107,65.429596
108,15.616476
109,26.209654
110,13.044191
111,15.603584
112,15.613151
113,27.594236
114,19.986189
115,43.12942
116,10.654583
117,40.79581
118,33.739197
119,16.60415
120,17.774725
121,65.13414
122,13.285839
123,26.804796
124,54.51681
125,14.29785
126,18.485846
127,13.594845
128,13.266098
129,23.434488
130,17.13319
131,12.353196
132,16.8518
133,11.776786
134,27.524345
135,21.2585
136,11.131827
137,37.04755
138,9.054596
139,62.830994
140,208.07202
141,13.407625
142,15.141063
143,14.246737
144,22.411118
145,11.862716
146,21.502567
147,16.115898
148,10.778505
149,19.05591
150,28.369555
151,82.37253
152,11.841834
153,9.94742
154,19.789843
155,31.495674
156,30.327383
157,34.945614
158,9.6522045
159,17.134016
160,26.816778
161,21.03364
162,33.781044
163,27.259285
164,16.004066
165,98.6278
166,27.858881
167,45.13324
168,29.043386
169,14.619007
170,24.99767
171,35.906445
172,67.01845
173,52.295464
174,12.923829
175,9.264608
176,22.257282
177,16.81484
178,10.448767
179,64.80219
180,15.693221
181,23.280695
182,34.159355
183,23.7968
184,43.858456
